country,year,PIB,population,IDH,unemployment,gdp_pc,log_gdp_pc,gdp_growth,unemployment.1,poverty
Panamá,2004,15100203400.0,3251113.0,0.7408,6.127,4644.625825063601,8.44346609365743,11.002699608099586,,
Panamá,2005,16623906700.0,3312982.0,0.7464999999999999,6.002,5017.807733335104,8.520748410794766,10.090614408544996,,
Panamá,2006,18659721500.0,3374971.0,0.7522,5.822,5528.853877559244,8.617735817621767,12.246307903063492,,
Panamá,2007,21717433800.0,3437444.0,0.7579,5.694,6317.901848001015,8.751142445945538,16.386698483147242,,
Panamá,2008,25721328000.0,3500596.0,0.7636000000000001,5.647,7347.699648859794,8.902142570276384,18.43631359428848,,
Panamá,2009,27791215500.0,3564327.0,0.7693,5.864,7797.0442947574675,8.961500004293523,8.047358596725651,,
Panamá,2010,30231009500.0,3628492.0,0.775,5.845,8331.562946810962,9.027806346229614,8.779011482963028,,
Panamá,2011,35687738300.0,3693468.0,0.7806000000000001,4.03,9662.39271600566,9.175996589703963,18.05010447964035,,
Panamá,2012,41595439700.0,3759201.0,0.7862,3.691,11064.9682472419,9.311539382823726,16.553868867616075,,
Panamá,2013,46949496500.0,3825287.0,0.7918000000000001,3.674,12273.4572595468,9.415194263260824,12.871739879696475,,
Panamá,2014,51427104900.0,3892053.0,0.7974,4.391,13213.361919788862,9.488983863228736,9.53707437522786,,
Panamá,2015,55767806100.0,3959985.0,0.803,4.335,14082.832662244931,9.552711792875446,8.440493021025564,,
Panamá,2016,59760858700.0,4029032.0,0.804,4.717,14832.559954847717,9.60458004025156,7.160139297643986,,
Panamá,2017,64327688800.0,4098656.0,0.805,5.338,15694.825035328657,9.66108632141708,7.641841498505775,,
Panamá,2018,67316471200.0,4167807.0,0.806,5.161,16151.532736520669,9.689770230433597,4.646183402130877,,
Panamá,2019,69778991200.0,4234652.0,0.807,6.256,16478.093406494794,9.709787105417233,3.65812401645913,,
Panamá,2020,57059846500.0,4293208.0,0.808,14.663,13290.724907807868,9.49482169557775,-18.22775663744477,,
Panamá,2021,67396392500.0,4345360.0,0.819,10.177,15509.967528582212,9.64923816258891,18.11527130554058,,
Panamá,2022,76276116700.0,4400715.0,0.835,8.086,17332.664510198912,9.760348122200934,13.175370180236287,,
Panamá,2023,83318176900.0,4458719.0,0.839,6.544,18686.57273535291,9.835560509389063,9.232326584869256,,
Paraguay,2001,8495806432.18467,5187639.0,0.6685,6.206,1637.7019357331285,7.40104927943786,-4.064032188314714,,
Paraguay,2002,7196260656.84556,5261286.0,0.673,9.393,1367.7759880085516,7.2209413333180255,-15.296320434232593,,
Paraguay,2003,7691367471.17992,5326394.0,0.6775,6.814,1444.010238668022,7.275179409917954,6.880056712000582,,
Paraguay,2004,9624440836.29309,5388133.0,0.682,6.513,1786.229262769329,7.487862119810322,25.133025724704083,,
Paraguay,2005,10737500188.1123,5448045.0,0.6865,4.825,1970.890509919118,7.586240755086708,11.564924869421422,,
Paraguay,2006,13429430050.261,5505102.0,0.691,5.277,2439.451630553076,7.799528551452466,25.07035916170681,,
Paraguay,2007,17856393235.4338,5559335.0,0.6955,4.713,3211.965682124535,8.074638390739505,32.96463936745224,,
Paraguay,2008,24615267663.5456,5613526.0,0.7,4.415,4384.992189142012,8.385943123537198,37.851285749574856,,
